Datetime,Open,High,Low,Close,Adj Close,Volume
2022-02-11 09:30:00-05:00,260.0,261.5199890136719,255.360107421875,255.5399932861328,255.5399932861328,4105917
2022-02-11 09:45:00-05:00,255.5500030517578,258.3999938964844,253.07000732421875,253.41000366210938,253.41000366210938,3577913
2022-02-11 10:00:00-05:00,253.3800048828125,256.3299865722656,252.0,252.99000549316406,252.99000549316406,2911805
2022-02-11 10:15:00-05:00,252.9678955078125,253.35989379882812,250.83999633789062,252.54989624023438,252.54989624023438,2643284
2022-02-11 10:30:00-05:00,252.49989318847656,255.19000244140625,251.67010498046875,253.5,253.5,2368121
2022-02-11 10:45:00-05:00,253.56500244140625,254.0,250.42999267578125,250.55999755859375,250.55999755859375,1850224
2022-02-11 11:00:00-05:00,250.55999755859375,252.49000549316406,249.1300048828125,249.24000549316406,249.24000549316406,2290472
2022-02-11 11:15:00-05:00,249.24000549316406,250.02679443359375,248.57000732421875,249.39999389648438,249.39999389648438,2169436
2022-02-11 11:30:00-05:00,249.4250030517578,250.1999969482422,247.77000427246094,248.50999450683594,248.50999450683594,1624860
2022-02-11 11:45:00-05:00,248.5,249.64999389648438,247.47000122070312,248.8000030517578,248.8000030517578,1660740
2022-02-11 12:00:00-05:00,248.72999572753906,250.14010620117188,248.1999969482422,249.5500946044922,249.5500946044922,1140627
2022-02-11 12:15:00-05:00,249.60000610351562,249.86990356445312,247.75,249.55999755859375,249.55999755859375,1122121
2022-02-11 12:30:00-05:00,249.52999877929688,249.8498992919922,248.3699951171875,248.3699951171875,248.3699951171875,947500
2022-02-11 12:45:00-05:00,248.4199981689453,248.83999633789062,246.6999969482422,247.13400268554688,247.13400268554688,1475653
2022-02-11 13:00:00-05:00,247.10000610351562,248.75999450683594,246.9600067138672,247.8300018310547,247.8300018310547,1132376
2022-02-11 13:15:00-05:00,247.88999938964844,248.8699951171875,246.85000610351562,246.93069458007812,246.93069458007812,974121
2022-02-11 13:30:00-05:00,246.92999267578125,246.92999267578125,243.5,244.5500946044922,244.5500946044922,2378164
2022-02-11 13:45:00-05:00,244.52000427246094,245.39999389648438,243.10000610351562,243.30999755859375,243.30999755859375,1966172
2022-02-11 14:00:00-05:00,243.27000427246094,244.58999633789062,241.69000244140625,242.52999877929688,242.52999877929688,2570471
2022-02-11 14:15:00-05:00,242.63999938964844,244.22000122070312,240.89010620117188,241.30999755859375,241.30999755859375,2004265
2022-02-11 14:30:00-05:00,241.39999389648438,242.54989624023438,240.11000061035156,240.46560668945312,240.46560668945312,1593628
2022-02-11 14:45:00-05:00,240.60000610351562,240.86000061035156,237.72999572753906,239.27999877929688,239.27999877929688,2260188
2022-02-11 15:00:00-05:00,239.32000732421875,241.61990356445312,239.00999450683594,240.0500030517578,240.0500030517578,2424521
2022-02-11 15:15:00-05:00,240.0,241.07000732421875,238.5500030517578,239.77000427246094,239.77000427246094,2215856
2022-02-11 15:30:00-05:00,239.72999572753906,240.32000732421875,237.85000610351562,238.63999938964844,238.63999938964844,2432803
2022-02-11 15:45:00-05:00,238.6199951171875,241.8699951171875,238.5,239.41000366210938,239.41000366210938,4499296
